,,,longitude,latitude
clade 1- 31,E,Oceania,144.9631,-37.8136
clade 1- 35,E,Canada,-79.3832,43.6532
clade 1-36,E,USA,-96.8410503,32.8143702
clades 9-1-4,E,Belgium,4.469936,50.503887
,,England,-3.435973,55.378051
clades 1-39,E,Taiwan,120.960515,23.69781
clades 1-42,E,USA,-99.9018131,41.4925374
clades 1-10,E,Africa,-14.452362,14.497401
clades 2-171,WA,Australia,144.9631,-37.8136
clades-2 169,WA,IL,-89.3985283,40.6331249
clades 2-168,WA,NC,-79.0192997,35.7595731
clades 6- 85-87,WA,Canada,-79.3832,43.6532
clades 2- 158-162,WA,VA,-95.1449017,36.6309594
clades 3- 34-35,NY,Taiwan,120.960515,23.69781
clades 3-36,NY,portugal,-8.224454,39.399872
clades 3- 37-39,NY,Japan,138.252924,36.204824
clades 3-46-47,NY,Australia,144.9631,-37.8136
clades 6-2,NY,USA-AZ,-111.0937311,34.0489281
clades 3-51-52,NY,Saudi Arabia (Asia),45.079162,23.885942
clades 4-46,NY,Australia,144.9631,-37.8136
clades 4-72,NY,Taiwan,120.960515,23.69781
clades 5-49-51,UK,Brazil,-43.1729,-22.9068
clades 5-55,UK,Australia,144.9631,-37.8136
clades6-1,NGI,USA-CA,-119.4179324,36.778261
clades 6-2,NGI,USA-AZ,-111.0937311,34.0489281
clades 6-3,NGI,Taiwan,120.960515,23.69781
clades 6-4,NGI,Spain,-3.74922,40.463667
clades 6- 85-87,NGI,Canada,-79.3832,43.6532
clades 6-88,NGI,Brazil,-43.1729,-22.9068
clades 6-90-101,NGI,Australia,144.9631,-37.8136
clades 7-1 &47-54,CHINA,USA-Cr,-95.7422569,36.2244054
clades 7-14-45,CHINA,USA-WI,-88.7878678,43.7844397
clades 7-45,CHINA,USA-IL,-89.3985283,40.6331249
clades 7-55,CHINA,USA-CA,-119.4179324,36.778261
clades 7-61-73,CHINA,UK,-3.435973,55.378051
clades 7-83,CHINA,Ireland,-7.6920536,53.1423672
clades 7-84-87,CHINA,Iceland,-21.9426,64.1466
,,Zhejiang,119.7889248,29.1416432
clades 7-116,CHINA,Canada,-79.3832,43.6532
clades 8-4-5,FBS,USA-WI,-88.7878678,43.7844397
clades 8-32,FBS,UK,-3.435973,55.378051
clades 8-33-34,FBS,DRC(Africa),18.4241,-33.9249
,FBS,Switzerland,8.227512,46.818188
,FBS,Belgium,4.469936,50.503887
clades 8-45,FBS,Australia,144.9631,-37.8136
clades 9-1-4,UK,Belgium,4.469936,50.503887
clades 9-5,UK,Australia,144.9631,-37.8136
clades 9-7&20,UK,Netherlands,5.291266,52.132633
clades 9-8,UK,USA-NY,-74.0059728,40.7127753
clades 9-12,UK,Russia,37.6173,55.7558
"clades 9-17-19,33-34,&40",UK,Iceland,-21.9426,64.1466
clades 9-22,UK,Denmark,9.501785,56.26392
clades 9-23,UK,DRC(Africa),18.4241,-33.9249
